112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.115474;  W[0][6] = -0.100000;  
W[1][0] = 0.022076;  W[1][1] = -0.010853;  W[1][2] = -0.021894;  W[1][3] = -0.048566;  W[1][4] = -0.052452;  W[1][5] = 0.112541;  W[1][6] = -0.400000;  

W[0][0] = -0.069106;  W[0][1] = -0.033549;  W[0][2] = -0.025893;  W[0][3] = -0.003823;  W[0][4] = 0.005606;  W[0][5] = 0.11
